Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
CA,AB,,,5.0000,GST (5%),1,0,0,
CA,BC,,,5.0000,GST 5%),1,0,0,
CA,MB,,,5.0000,GST (5%),1,0,0,
CA,NB,,,15.0000,HST (15%),1,0,0,
CA,NL,,,15.0000,HST (15%),1,0,0,
CA,NS,,,14.0000,HST (14%),1,0,0,
CA,NT,,,5.0000,GST (5%),1,0,0,
CA,NU,,,5.0000,GST (5%),1,0,0,
CA,ON,,,13.0000,HST (13%),1,0,0,
CA,PE,,,15.0000,HST (15%),1,0,0,
CA,QC,,,5.0000,GST (5%),1,0,0,
CA,SK,,,5.0000,GST (5%),1,0,0,
CA,YT,,,5.0000,GST (5%),1,0,0,
CA,BC,,,7.0000,PST (7%),2,0,0,
CA,MB,,,7.0000,PST (7%),2,0,0,
CA,QC,,,9.9750,PST (9.975%),2,0,0,
CA,SK,,,6.0000,PST (6%),2,0,0,
